cases,deaths,$S(t)$,$\dot{S}(t)$,$E(t)$,$\dot{E}(t)$,$I(t)$,$\dot{I}(t)$,$R^1(t)$,$\dot{R}^1(t)$,$R^2(t)$,$\dot{R}^2(t)$,$R^2(t)=N-\sum(SEIR^1)$,$R(t)=R^1(t)+R^2(t)$
716,10,64989636.67333932,-0.13389208131350766,5007.424132089533,901.1449120886259,2637.584653584354,957.5453374136938,664.2645186317067,296.87061750737547,2054.053356388935,-0.0015526883018966906,2054.05335637182,2718.3178750206416
1126,19,64983011.55852833,-0.2603619016872645,8229.890154373523,1305.3377137921689,4335.6390338338915,1321.2098693916887,979.4644869214951,235.09529018545277,3443.4477965826063,-0.0032958329868533888,3443.4477965459228,4422.912283504102
1412,30,64976112.67860712,-0.3745200413865636,11555.451661211688,1555.1413474536528,6085.665945082044,1537.7733957081305,1318.798245202884,173.25244905377716,4927.405541400542,-0.005018644803800026,4927.405541375279,6246.203786603425
1784,33,64968277.51858834,-0.48785600616480207,15309.684307373456,1728.3384398210387,8061.496968280065,1682.4245354715158,1715.9389652921475,114.50279023737929,6635.36117062579,-0.006903209087361454,6635.361170716584,8351.300135917938
2281,48,64958560.31135991,-0.6341951938289083,19954.247232086545,1889.0021503025644,10506.845950250197,1811.6234581335796,2213.5252056428058,45.62750901703275,8765.070251988474,-0.009652755417321711,8765.070252105594,10978.59545763128
2876,61,64946963.41664612,-0.7903873394374338,25481.018485556746,2013.9854122491624,13417.018957993025,1908.3393889198042,2819.48469074482,-18.87917952503566,11319.061219645215,-0.012994288496586532,11319.061219580472,14138.545910390036
3661,79,64932182.105609804,-1.032318731578315,32521.999111188008,2157.1221084249496,17125.661230664595,2014.8862082092724,3591.1767722149925,-104.90744819029155,14579.057276144591,-0.018861165552145766,14579.057276129723,18170.234048359584
4499,91,64915923.363804676,-1.123150588485184,40231.39882897265,2197.0742514152125,21185.974514649366,2043.4945228500153,4478.01653791473,-132.1774897250175,18181.246313778447,-0.021323881328898633,18181.246313787997,22659.262851693176
5423,127,64898657.472817495,-0.8764499596447013,48376.281232774236,2114.666896360364,25475.86200876663,1986.6958141691655,5469.390766660929,-69.56445524736446,22020.993174252362,-0.01388176030542743,22020.99317430705,27490.383940913292
6633,148,64877473.44535739,-0.5915211700883436,58374.481267409465,2040.269697065695,30744.716764000375,1937.279498594198,6677.620455031885,-7.681373826803018,26729.736156125644,-0.004281927210419426,26729.7361561656,33407.35661115753
7730,175,64857600.82959654,0.9006193782392534,67666.16231768356,1731.3157767303094,35639.53234750124,1739.1601286275495,7926.088046812538,269.70067645726203,31167.387691288022,0.051516524284962686,31167.38769146055,39093.47573810056
9134,244,64834786.06124423,2.9488924786401896,78328.412419216,1383.5244464545494,41259.90770644659,1523.350414102077,9365.976984510718,602.660154344649,36259.64164525487,0.13707861655944492,36259.64164560288,45625.618629765595
10995,372,64804666.55624089,4.72014007266783,92473.9471938608,1131.7758089598199,48721.81210229603,1371.782338702866,11170.284898744525,856.9803142178508,42967.39956433493,0.21971002981428595,42967.39956421405,54137.68446307946
12612,450,64776927.754079,9.391046820074106,105371.89916440914,575.8398723563636,55522.52709416382,1046.0730367370306,13013.544608251814,1444.308730364781,49164.27505432057,0.4587702591204704,49164.27505417913,62177.81966257238
14459,562,64748539.0624654,16.45799537338453,118503.24683174795,-145.3657181405872,62449.024703542076,633.645389188239,14996.309849530666,2235.014776368677,55512.35615049973,0.8563044265698696,55512.35614978522,70508.6660000304
16018,674,64726409.92612132,28.855453404938537,128515.13595759416,-1254.8678627221334,67726.34094423178,12.48053989563266,16866.30889779536,3489.105988003209,60482.2880790145,1.6278324399622064,60482.288079068065,77348.59697680986
19856,860,64671963.608775795,31.373015530330107,154138.872412505,-1459.92107420866,81275.04848428632,-100.2350652059508,20016.18374480015,3726.725919111935,72606.28658293826,1.8045509306791458,72606.2865826115,92622.47032773841
22302,1100,64627739.919531114,44.11919574845507,174648.39745054443,-2363.1416526715307,92106.2217920463,-589.0148093795179,23020.194421894746,4794.858740914025,82485.26680458878,2.7631670876802716,82485.2668043971,105505.46122648353
25233,1331,64583754.91630555,63.31062148970577,194911.1368923689,-3561.4227624299388,102812.71549083562,-1228.9405954110268,26199.67639382861,6235.36067289462,92321.5549177409,4.301738567099191,92321.55491741747,118521.23131156951
29155,1696,64526841.611191705,82.6326019513647,221303.13691028114,-4643.52097190737,116777.36186912388,-1800.4541737264053,30038.226356670766,7553.294583774741,105039.66367129261,5.97058791956674,105039.66367221624,135077.89002796338
32964,1995,64469190.92836815,111.15544261190125,247885.76892506232,-6073.021155541563,130845.47084838846,-2548.5466013115642,34141.79576482178,9312.322083297564,117936.03609411363,8.607726193972992,117936.03609357774,152077.83185893542
37575,2314,64402132.10952133,144.65447340166224,278846.4517493515,-7588.047536204051,147247.45897624092,-3335.4320964023855,38832.54225976817,11191.421464356983,132941.43749290617,11.927088333638288,132941.43749330938,171773.97975267435
40174,2606,64367265.17971728,216.07707575814277,294069.18690794625,-10506.54009058254,155282.9122951641,-4841.963371907104,42610.43551585687,14832.81409739339,140772.28556140253,19.483371493351395,140772.28556375206,183382.7210772594
44550,3024,64321987.20459484,288.56801987069446,314221.88324901275,-13319.466277438314,165964.97953802836,-6286.806348994604,46908.18064060678,18356.970290500656,150917.75197503073,28.009030181801034,150917.7519775033,197825.9326156375
52128,3523,64223104.8841999,328.0132221149379,360101.28306174726,-14802.667583319348,190357.66342269286,-7045.6307507988495,53375.05722819284,20220.000991448476,173061.11208811335,33.24408141132814,173061.11208745837,226436.1693163062
56989,4032,64147804.934016526,409.5804356563309,394336.17634535284,-17643.314142238443,208530.6026483919,-8494.390837617837,59382.036920471946,23793.685521657197,189946.25007285477,44.85071139159557,189946.25006925315,249328.28699332674
59105,4503,64132956.96263977,567.5789912546301,399270.93892604485,-22790.972825668294,211074.43722929337,-11113.29869078177,63445.91970547528,30273.697868565767,193251.74150362087,68.92359704453139,193251.74149941653,256697.66120909614
