cases,deaths,$S(t)$,$\dot{S}(t)$,$E(t)$,$\dot{E}(t)$,$I(t)$,$\dot{I}(t)$,$R^1(t)$,$\dot{R}^1(t)$,$R^2(t)$,$\dot{R}^2(t)$,$R^2(t)=N-\sum(SEIR^1)$,$R(t)=R^1(t)+R^2(t)$
18187,45,64656344.84143478,-26.388460060538456,164132.6657673715,5092.737009297722,86585.92504649721,3651.018252253271,17206.36357297953,-3448.634349813628,75730.20417839818,-1.0816978760580778,75730.20417837799,92936.56775137772
21463,67,64579789.97687139,-25.823524808445296,200259.71877743123,5053.3877114084835,105670.31812730149,3628.5162354867466,21492.33653004495,-3405.453217518806,92787.64969380843,-1.0602696517714738,92787.64969382435,114279.98622385338
24774,94,64517397.26211242,-5.596952589501878,229266.02848302573,3997.3280113127876,120998.26293487458,3037.2504454371656,25582.384692518794,-2210.4158959963174,106756.06177726564,-0.2731723878453183,106756.06177716702,132338.44646978442
29212,126,64448071.043972895,23.851342531000263,261431.4822362234,2747.7434615350367,138022.63613576067,2350.281902828664,30189.739241242016,-760.9324619790273,122285.0984142899,1.0008326795424989,122285.09841388464,152474.8376555319
31554,149,64413769.66464965,101.90147712509074,276450.3356453723,-61.57942482441058,145942.93142259817,829.616596999691,33791.99326534651,2562.645811911845,130045.07501864964,4.86690903278285,130045.07501703501,163837.06828399614
36508,198,64356922.7427171,172.07194604021547,302271.2455982455,-2354.442636474536,159634.13428737276,-395.3980810587402,38360.86744501156,5317.149825119393,142811.00995236746,8.983862834469726,142811.00995226204,181171.87739737902
42288,253,64279368.34887094,238.4571150324842,337933.6534440845,-4362.512730896612,178566.84138129343,-1456.6742422943114,43929.03217860783,7758.100130831497,160202.12412583947,13.567655529204242,160202.12412507087,204131.1563044473
48582,325,64188499.08284084,313.5700529190557,379794.46300748014,-6463.207948748958,200804.53092544264,-2557.0127902571194,50313.57225515192,10334.685114646958,180588.35097046426,19.49097364294111,180588.3509710878,230901.9232256162
52547,389,64134351.461638056,461.6863911631879,403703.49084717355,-10276.804228164403,213470.48877707942,-4540.007546276128,55710.941701700875,15043.688720229326,192763.61703568322,32.463227113238275,192763.61703599244,248474.5587373841
57298,455,64089232.64523858,641.95264546711,423126.2584769317,-14698.086146545851,223768.73220798973,-6825.417065571206,60983.08484518112,20528.20387297775,202889.27923343616,50.2484754425587,202889.27923131734,263872.3640786173
61913,583,64053449.22941441,848.5835679706868,437957.4417338993,-19678.16664597694,231633.91814001967,-9387.531843378418,66076.50776494625,26722.64640998336,210882.9029480064,73.64648439750572,210882.90294673294,276959.41071295267
67366,732,64011005.37940719,1053.0387918042588,455917.3207334955,-24670.18238466394,241191.03740070038,-11946.19612948485,71546.31955567919,32939.123954773044,220339.9428981312,100.67670024793364,220339.94290293753,291886.2624538104
73522,872,63956604.77673421,1247.168744756005,479530.60462671914,-29562.424363077916,253778.58899361722,-14446.368083498626,77620.66126071416,39031.29323217491,232465.36838561943,130.79955758141529,232465.3683847338,310086.0296463336
79696,1017,63899316.87871091,1443.9316485077507,504408.9766430942,-34717.46043506275,267040.29864895414,-17074.813088839885,84012.84312081493,45445.348268826885,245221.00287731618,166.4279661669158,245221.00287622958,329233.8459981311
85778,1158,63845559.87389885,1649.3824301779505,527465.4846462209,-40355.25546374524,279327.26039687515,-19944.323263837367,90493.5988969341,52449.73645772536,257153.78216190537,209.6679252778186,257153.7821611166,347647.3810588395
91714,1342,63799087.37320739,1862.6522545654266,546914.8590131069,-46571.38787645173,289687.82020366,-23103.946794970132,96904.41056394804,60156.84942479322,267405.5370173287,262.1084123541181,267405.5370118916,364309.94758127676
95391,1434,63794508.532552116,2109.404166414089,546226.0458950008,-54395.12048414309,289248.84907091735,-27076.76321439161,101909.49298680753,69831.98922357369,268107.07949943305,334.2182722346207,268107.0794951618,370016.5724862406
99225,1607,63808056.970620416,2335.5437860006864,536885.2262410944,-62808.60814157195,284214.56982810155,-31346.03738569743,106215.85058731024,80202.96098658326,264627.38272387686,418.3600434194028,264627.38272307813,370843.2333111871
103228,1861,63826528.63046524,2508.049460111489,525255.4586250337,-71279.39237096983,277996.99296984705,-35642.33084850051,110243.96455003833,90605.3590311454,259974.9533898679,509.7087956239445,259974.95338983834,370218.91793990624
108202,2107,63830506.41605905,2606.425476317613,520632.4125991557,-79163.51835679653,275566.1585218803,-39639.787812455426,114708.53743883513,100248.55031036401,258586.47537502804,600.6582165565178,258586.4753810838,373295.01281386317
113525,2373,63821127.80901975,2637.3368231769864,522440.47921164625,-86594.05733957923,276576.36535966705,-43406.392609384835,119633.85911100512,109301.41451807087,260221.48729461659,691.5151715546002,260221.48729793727,379855.34640562173
117658,2544,63824047.1389596,2605.5268486050336,518380.2893811681,-94474.99336974867,274414.30344218353,-47400.56219150489,124112.52105667551,118868.52288410239,259045.74716442695,792.7055615184114,259045.74716037512,383158.2682211025
120479,2673,63853155.26794835,2496.2626350949945,501829.23736802256,-103161.81459620562,265554.1976961708,-51802.45134659586,127567.31343485399,129379.05440395992,251893.98354865174,908.8435422302166,251893.98355259746,379461.2969835057
123016,2799,63897494.06152419,2297.720331087512,478071.96453468176,-112118.91109954241,252867.90807307733,-56340.658889537626,130298.85268959883,140182.10350251014,241267.21317857236,1032.700715147851,241267.21317844838,371566.06586817116
125098,2969,63953278.214655735,2002.147388813287,448945.9050024666,-121114.9168342025,237345.4193874282,-60898.003973022795,132387.40419503025,150998.548330848,228043.05676517304,1160.6397874764077,228043.0567593351,360430.4609602033
127584,3254,64004419.51466583,1626.535941478273,422165.34137473523,-129546.92498787191,223118.76298190525,-65169.060446657844,134393.82905465862,161107.53775650045,215902.55193071818,1283.2047172475347,215902.55192287266,350296.3809853768
130450,3569,64043595.955513895,1192.5816755329256,401230.7635599254,-137207.05116390443,212033.16922945945,-69048.50465348914,136617.36092548355,170268.13759688547,206522.75076546715,1396.2104872647453,206522.7507712394,343140.1116909507
133830,3868,64065855.62914008,725.6199558642578,388495.345265729,-144016.31431598795,205321.89819831442,-72496.30439644842,139297.31219290264,178395.45198863983,201029.81520011174,1497.3766849844956,201029.81520297378,340327.1273930144
137439,4110,64074342.46996551,232.60935437328806,382421.40641916275,-150194.25414636926,202145.38745856867,-75623.61233789135,142388.24465683324,185759.77988738738,198702.49150001284,1589.1263539299093,198702.49149992317,341090.73615684605
139897,4294,64093330.54109828,-346.52541901143053,371341.0150044105,-156622.11889799451,196265.7853716895,-78876.4256341173,145037.7460960017,193416.8061940485,194024.91243834415,1683.9513741972762,194024.91242961586,339062.65853434586
141672,4404,64126883.25451605,-1019.9178313187342,353315.8528206735,-163351.5806813534,186678.00372631953,-82280.71583750744,147047.46003129426,201430.65632280253,186075.4289079369,1782.0985687918346,186075.42890566587,333122.88893923117
143457,4598,64165075.25008478,-1747.4482914087134,333132.29138098145,-169954.14856516424,175958.81333093482,-85619.67441644405,148726.6569092677,209292.0555104022,177106.98828531225,1877.0475197736444,177106.98829404265,325833.64519457996
145694,4879,64195621.66957555,-2475.6579274021524,316699.83253955405,-175999.53684674302,167258.60702862722,-88675.83456492874,150516.11041035492,216489.24154596476,169903.78044993832,1962.621023412113,169903.78044591844,320419.89086029324
148046,5094,64218238.773791514,-3198.0898560466076,304147.3226205973,-181535.52968227334,160626.3820451033,-91473.53293278582,152460.09133164206,223080.13628740498,164527.43021231826,2039.5995881950996,164527.4302111417,316987.5215439603
